NAME,CATEGORY,VIEW1PERMISSION1,VIEW1PERMISSION2,VIEW1PERMISSION3,VIEW1PERMISSION4,VIEW1PERMISSION5
"""Kaltura""","[""recording-transcriptions""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Domo""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Torii""","[""content-and-compliance""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""Greenhouse""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""PlusThis""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""IR Collaborate - Experience Management Zoom Phone""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Device Information""",,
"""The Events Calendar Virtual Events for Zoom Admins""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Avoma Assistant""","[""productivity"",""sales-automation"",""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ChamberMaster / MemberZone""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Kahoot!""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""RESERVA""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Mixmax""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Agendas Made Easy with Sesh""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Schoox Personal Integration Zoom Meeting""","[""education"",""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""EventMobi""","[""eventmanagement""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""SchoolbellQ Meeting Scheduler""","[""education"",""scheduling-calendar""]",,,,,
"""incident.io""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""EnjoyHQ""","[""recording-transcriptions""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""1 on 1 + Meeting Analytics with Read Dashboard""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ashby""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""STAR Balance""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Appointedd for Webinars""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Wordly App for Zoom""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Hirebridge ATS""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""LinkedIn Video Meetings""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Membes AMS""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Outgoing Webhook""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""SimpleTix""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Freshdesk Notifications""","[""customer-service""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Lemniscus""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""",,,
"""Novocall""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Intellum""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Wappointment for WordPress""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Reservie""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Valarea""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Feishu""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Aquarius iEduCentre""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Karma by Goodera""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""idg-chatbot""","[""team-collaborations""]","""Content""",,,,
"""Blink""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Egnyte for Zoom""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""gymGO""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Knowledge Assistant - Fully searchable recordings""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ZFusion for Salesforce - Webinars""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TORSH Talent""","[""education"",""learning-development""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Boostlingo""","[""health-care"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Parent""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Morgen""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Weavy Meetings""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Lawcus""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ZMEETING""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""",,,
"""MagnaPass""","[""health-care"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""calendar.deepvoice.ru""","[""scheduling-calendar""]",,,,,
"""Lupl""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Presence""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SmartVoom""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ManyZoom""","[""analytics"",""eventmanagement"",""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Recruitly""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Clovers""","[""human-resources""]","""Product Usage""",,,,
"""Snaphunt""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Nexudus for Members""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zhard""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ProspurIO""","[""crm""]",,,,,
"""Seatrobot App for Zoom""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Engage""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Bouncer Security - Event Attendee Gatekeeper""","[""content-and-compliance""]","""Settings""","""Profile & Contact Information""",,,
"""Ciara""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""nametag""","[""human-resources"",""team-collaborations""]",,,,,
"""Vbrick Rev - Europe""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Aurelius""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Wisgrow""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""OpsArc""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""HMH Virtual Classroom""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Woolf""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ClassOnline""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""PandaFlow - Sync Zoom with Salesforce or HubSpot""","[""education"",""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Talk2Me""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Loop Messenger""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TeachFX""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""LivingLens""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""imicroapp""","[""customer-service""]",,,,,
"""MPA-Online Virtual Judging""","[""education"",""team-collaborations""]",,,,,
"""My Writing Coach""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""passtree.net""","[""education"",""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Total PT Fitness""","[""health-care"",""scheduling-calendar""]",,,,,
"""Laylo""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""SmartVoom""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cloud Concinnity""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Roulons Electrique""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Firmbird""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Metl""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Vei""","[""education"",""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""umowiono.pl""","[""customer-service""]","""Settings""","""Profile & Contact Information""",,,
"""LTI Pro""","[""education"",""learning-development""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""Slack""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Google Calendar Notifications""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Rooster""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Zendesk by Zoom""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Miro""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Tray.io""","[""productivity""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""Salesloft Scheduling""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""SimpleClinic""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Jenkins""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Schoology LTI""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Jotform""","[""health-care"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Digital Certificates""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Meeting Launcher""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""GrowthZone""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ManageBac""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Event Viewer""","[""eventmanagement"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Chorus App for Zoom""","[""sales-automation""]","""Settings""","""Profile & Contact Information""",,,
"""Clipwise for Zoom Admins""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""LINC Biz""","[""team-collaborations""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Kundelik.Conferences""","[""education"",""learning-development""]",,,,,
"""Events Calendar""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""twine for Zoom""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Eventzilla""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Hive Notes""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""inGroups""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Nookal""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Paperbell""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Certain""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""JRNI""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Setster Appointment Scheduling""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""ClubRight""","[""health-care"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""FaxSIPit""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Verbit Live Stream""","[""education"",""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Spool""","[""sales-automation"",""team-collaborations"",""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Mentornity""","[""learning-development""]","""Settings""","""Profile & Contact Information""",,,
