Column 1 1 2 1,CATEGORY,Column 1 2 1 2 1,Column 1 2 1 3 1,Column 1 2 1 4 1
"""Kaltura""","[""recording-transcriptions""]",,,
"""Domo""","[""analytics""]",,,
"""Torii""","[""content-and-compliance""]","""Profile & Contact Information""","""Settings""",
"""Greenhouse""","[""human-resources""]",,,
"""PlusThis""","[""marketing""]","""Profile & Contact Information""","""Settings""",
"""IR Collaborate - Experience Management Zoom Phone""","[""analytics""]",,,
"""The Events Calendar Virtual Events for Zoom Admins""","[""marketing""]",,,
"""Avoma Assistant""","[""productivity"",""sales-automation"",""transcription-translation""]","""Profile & Contact Information""","""Settings""",
"""ChamberMaster / MemberZone""","[""crm""]",,,
"""Kahoot!""","[""education"",""learning-development""]",,,
"""RESERVA""","[""scheduling-calendar""]",,,
"""Mixmax""","[""scheduling-calendar""]",,,
"""Agendas Made Easy with Sesh""","[""productivity""]",,,
"""Schoox Personal Integration Zoom Meeting""","[""education"",""productivity""]",,,
"""EventMobi""","[""eventmanagement""]",,,
"""SchoolbellQ Meeting Scheduler""","[""education"",""scheduling-calendar""]",,,
"""incident.io""","[""team-collaborations""]",,,
"""EnjoyHQ""","[""recording-transcriptions""]",,,
"""1 on 1 + Meeting Analytics with Read Dashboard""","[""analytics""]",,,
"""Ashby""","[""scheduling-calendar""]",,,
"""STAR Balance""","[""education"",""scheduling-calendar""]",,,
"""Appointedd for Webinars""","[""scheduling-calendar""]",,,
"""Wordly App for Zoom""","[""team-collaborations""]",,,
"""Hirebridge ATS""","[""human-resources""]",,,
"""LinkedIn Video Meetings""","[""team-collaborations""]",,,
"""Membes AMS""","[""crm""]",,,
"""Outgoing Webhook""","[""productivity""]",,,
"""SimpleTix""","[""eventmanagement""]",,,
"""Freshdesk Notifications""","[""customer-service""]",,,
"""Lemniscus""","[""health-care"",""health-wellness""]",,,
"""Novocall""","[""scheduling-calendar""]",,,
"""Intellum""","[""education"",""learning-development""]",,,
"""Wappointment for WordPress""","[""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""Reservie""","[""scheduling-calendar""]",,,
"""Valarea""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Feishu""","[""team-collaborations""]",,,
"""Aquarius iEduCentre""","[""learning-development""]",,,
"""Karma by Goodera""","[""eventmanagement""]",,,
"""idg-chatbot""","[""team-collaborations""]",,,
"""Blink""","[""team-collaborations""]",,,
"""Egnyte for Zoom""","[""team-collaborations""]",,,
"""gymGO""","[""eventmanagement""]",,,
"""Knowledge Assistant - Fully searchable recordings""","[""transcription-translation""]",,,
"""ZFusion for Salesforce - Webinars""","[""crm""]",,,
"""TORSH Talent""","[""education"",""learning-development""]",,,
"""Boostlingo""","[""health-care"",""team-collaborations""]",,,
"""Parent""","[""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Morgen""","[""scheduling-calendar""]",,,
"""Weavy Meetings""","[""team-collaborations""]",,,
"""Lawcus""","[""scheduling-calendar""]",,,
"""ZMEETING""","[""transcription-translation""]",,,
"""MagnaPass""","[""health-care"",""scheduling-calendar""]",,,
"""calendar.deepvoice.ru""","[""scheduling-calendar""]",,,
"""Lupl""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Presence""","[""learning-development""]",,,
"""SmartVoom""","[""education"",""learning-development""]",,,
"""ManyZoom""","[""analytics"",""eventmanagement"",""marketing""]",,,
"""Recruitly""","[""crm""]","""Profile & Contact Information""","""Settings""",
"""Clovers""","[""human-resources""]",,,
"""Snaphunt""","[""human-resources""]",,,
"""Nexudus for Members""","[""scheduling-calendar""]",,,
"""Zhard""","[""analytics""]",,,
"""ProspurIO""","[""crm""]",,,
"""Seatrobot App for Zoom""","[""eventmanagement""]",,,
"""Engage""","[""learning-development""]",,,
"""Bouncer Security - Event Attendee Gatekeeper""","[""content-and-compliance""]",,,
"""Ciara""","[""transcription-translation""]",,,
"""nametag""","[""human-resources"",""team-collaborations""]",,,
"""Vbrick Rev - Europe""","[""team-collaborations""]",,,
"""Aurelius""","[""recording-transcriptions""]",,,
"""Wisgrow""","[""education"",""learning-development""]",,,
"""OpsArc""","[""human-resources""]",,,
"""HMH Virtual Classroom""","[""learning-development""]",,,
"""Woolf""","[""education"",""learning-development""]",,,
"""ClassOnline""","[""scheduling-calendar""]",,,
"""PandaFlow - Sync Zoom with Salesforce or HubSpot""","[""education"",""sales-automation""]","""Profile & Contact Information""","""Settings""",
"""Talk2Me""","[""education"",""learning-development""]",,,
"""Loop Messenger""","[""team-collaborations""]",,,
"""TeachFX""","[""education"",""learning-development""]",,,
"""LivingLens""","[""recording-transcriptions""]",,,
"""imicroapp""","[""customer-service""]",,,
"""MPA-Online Virtual Judging""","[""education"",""team-collaborations""]",,,
"""My Writing Coach""","[""education"",""learning-development""]",,,
"""passtree.net""","[""education"",""productivity""]",,,
"""Total PT Fitness""","[""health-care"",""scheduling-calendar""]",,,
"""Laylo""","[""crm""]",,,
"""SmartVoom""","[""education"",""learning-development""]",,,
"""Cloud Concinnity""","[""productivity""]",,,
"""Roulons Electrique""","[""scheduling-calendar""]",,,
"""Firmbird""","[""productivity""]",,,
"""Metl""","[""analytics""]",,,
"""Vei""","[""education"",""social-activities""]",,,
"""umowiono.pl""","[""customer-service""]",,,
"""LTI Pro""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Slack""","[""team-collaborations""]",,,
"""Google Calendar Notifications""","[""scheduling-calendar""]",,,
"""Rooster""","[""scheduling-calendar""]",,,
"""Zendesk by Zoom""","[""team-collaborations""]",,,
"""Miro""","[""team-collaborations""]",,,
"""Tray.io""","[""productivity""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Salesloft Scheduling""","[""scheduling-calendar""]",,,
