Column 1 1 2 1,CATEGORY,Column 1 2 2 2 1,Column 1 2 2 3 1,Column 1 2 2 4 1
"""Kaltura""","[""recording-transcriptions""]",,,
"""Domo""","[""analytics""]",,,
"""Torii""","[""content-and-compliance""]",,,
"""Greenhouse""","[""human-resources""]","""Registration & Scheduling""","""Participants""","""Content"""
"""PlusThis""","[""marketing""]","""Registration & Scheduling""","""Participants""","""Content"""
"""IR Collaborate - Experience Management Zoom Phone""","[""analytics""]",,,
"""The Events Calendar Virtual Events for Zoom Admins""","[""marketing""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Avoma Assistant""","[""productivity"",""sales-automation"",""transcription-translation""]","""Registration & Scheduling""","""Participants""","""Content"""
"""ChamberMaster / MemberZone""","[""crm""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Kahoot!""","[""education"",""learning-development""]","""Participants""","""Content""",
"""RESERVA""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Mixmax""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Agendas Made Easy with Sesh""","[""productivity""]",,,
"""Schoox Personal Integration Zoom Meeting""","[""education"",""productivity""]","""Registration & Scheduling""","""Participants""","""Content"""
"""EventMobi""","[""eventmanagement""]","""Registration & Scheduling""","""Participants""","""Content"""
"""SchoolbellQ Meeting Scheduler""","[""education"",""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""incident.io""","[""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
"""EnjoyHQ""","[""recording-transcriptions""]",,,
"""1 on 1 + Meeting Analytics with Read Dashboard""","[""analytics""]",,,
"""Ashby""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""STAR Balance""","[""education"",""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Appointedd for Webinars""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Wordly App for Zoom""","[""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Hirebridge ATS""","[""human-resources""]","""Registration & Scheduling""","""Participants""","""Content"""
"""LinkedIn Video Meetings""","[""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Membes AMS""","[""crm""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Outgoing Webhook""","[""productivity""]",,,
"""SimpleTix""","[""eventmanagement""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Freshdesk Notifications""","[""customer-service""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Lemniscus""","[""health-care"",""health-wellness""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Novocall""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Intellum""","[""education"",""learning-development""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Wappointment for WordPress""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Reservie""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Valarea""","[""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Feishu""","[""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Aquarius iEduCentre""","[""learning-development""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Karma by Goodera""","[""eventmanagement""]","""Content""",,
"""idg-chatbot""","[""team-collaborations""]",,,
"""Blink""","[""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Egnyte for Zoom""","[""team-collaborations""]","""Content""",,
"""gymGO""","[""eventmanagement""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Knowledge Assistant - Fully searchable recordings""","[""transcription-translation""]","""Content""",,
"""ZFusion for Salesforce - Webinars""","[""crm""]",,,
"""TORSH Talent""","[""education"",""learning-development""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Boostlingo""","[""health-care"",""team-collaborations""]",,,
"""Parent""","[""learning-development""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Morgen""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Weavy Meetings""","[""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Lawcus""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""ZMEETING""","[""transcription-translation""]","""Registration & Scheduling""","""Participants""","""Content"""
"""MagnaPass""","[""health-care"",""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""calendar.deepvoice.ru""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Lupl""","[""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Presence""","[""learning-development""]",,,
"""SmartVoom""","[""education"",""learning-development""]","""Registration & Scheduling""","""Participants""","""Content"""
"""ManyZoom""","[""analytics"",""eventmanagement"",""marketing""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Recruitly""","[""crm""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Clovers""","[""human-resources""]",,,
"""Snaphunt""","[""human-resources""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Nexudus for Members""","[""scheduling-calendar""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Zhard""","[""analytics""]","""Registration & Scheduling""","""Participants""","""Content"""
"""ProspurIO""","[""crm""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Seatrobot App for Zoom""","[""eventmanagement""]",,,
"""Engage""","[""learning-development""]","""Registration & Scheduling""","""Participants""","""Content"""
"""Bouncer Security - Event Attendee Gatekeeper""","[""content-and-compliance""]",,,
"""Ciara""","[""transcription-translation""]","""Registration & Scheduling""","""Participants""","""Content"""
"""nametag""","[""human-resources"",""team-collaborations""]","""Registration & Scheduling""","""Participants""","""Content"""
