Column 1 1 2 1,CATEGORY,Column 1 2 1 3 2 1 1,Column 1 2 1 3 2 2 1,Column 1 2 1 3 2 3 1,Column 1 2 1 3 2 4 1
"""Kaltura""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Domo""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Torii""","[""content-and-compliance""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Greenhouse""","[""human-resources""]","""Product Usage""",,,
"""PlusThis""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""IR Collaborate - Experience Management Zoom Phone""","[""analytics""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""The Events Calendar Virtual Events for Zoom Admins""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Avoma Assistant""","[""productivity"",""sales-automation"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ChamberMaster / MemberZone""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Kahoot!""","[""education"",""learning-development""]","""Participant Profile & Contact Information""","""Product Usage""",,
"""RESERVA""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mixmax""","[""scheduling-calendar""]","""Product Usage""",,,
"""Agendas Made Easy with Sesh""","[""productivity""]","""Content""","""Product Usage""",,
"""Schoox Personal Integration Zoom Meeting""","[""education"",""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""EventMobi""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SchoolbellQ Meeting Scheduler""","[""education"",""scheduling-calendar""]",,,,
"""incident.io""","[""team-collaborations""]","""Product Usage""",,,
"""EnjoyHQ""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""1 on 1 + Meeting Analytics with Read Dashboard""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ashby""","[""scheduling-calendar""]","""Product Usage""",,,
"""STAR Balance""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Appointedd for Webinars""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Wordly App for Zoom""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Hirebridge ATS""","[""human-resources""]","""Product Usage""",,,
"""LinkedIn Video Meetings""","[""team-collaborations""]","""Product Usage""",,,
"""Membes AMS""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Outgoing Webhook""","[""productivity""]","""Content""","""Product Usage""",,
"""SimpleTix""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Freshdesk Notifications""","[""customer-service""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Lemniscus""","[""health-care"",""health-wellness""]","""Product Usage""",,,
"""Novocall""","[""scheduling-calendar""]","""Product Usage""",,,
"""Intellum""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""Wappointment for WordPress""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Reservie""","[""scheduling-calendar""]","""Product Usage""",,,
"""Valarea""","[""team-collaborations""]","""Product Usage""",,,
"""Feishu""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Aquarius iEduCentre""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Karma by Goodera""","[""eventmanagement""]","""Product Usage""",,,
"""idg-chatbot""","[""team-collaborations""]",,,,
"""Blink""","[""team-collaborations""]","""Product Usage""",,,
"""Egnyte for Zoom""","[""team-collaborations""]","""Registration Information""","""Content""","""Product Usage""",
"""gymGO""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Knowledge Assistant - Fully searchable recordings""","[""transcription-translation""]","""Registration Information""","""Content""","""Product Usage""",
"""ZFusion for Salesforce - Webinars""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TORSH Talent""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Boostlingo""","[""health-care"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Parent""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Morgen""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Weavy Meetings""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Lawcus""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ZMEETING""","[""transcription-translation""]","""Product Usage""",,,
"""MagnaPass""","[""health-care"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""calendar.deepvoice.ru""","[""scheduling-calendar""]",,,,
"""Lupl""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Presence""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SmartVoom""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ManyZoom""","[""analytics"",""eventmanagement"",""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Recruitly""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Clovers""","[""human-resources""]",,,,
"""Snaphunt""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nexudus for Members""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zhard""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ProspurIO""","[""crm""]",,,,
"""Seatrobot App for Zoom""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Engage""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Bouncer Security - Event Attendee Gatekeeper""","[""content-and-compliance""]","""Product Usage""",,,
"""Ciara""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""nametag""","[""human-resources"",""team-collaborations""]",,,,
"""Vbrick Rev - Europe""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Aurelius""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Wisgrow""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""OpsArc""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""HMH Virtual Classroom""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Woolf""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ClassOnline""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
